question,answer
Did you hear the king’s in Winterfell?, I did hear something about that.
And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms., And the other brother?
The queen has two brothers?, There’s the pretty one. And there’s the clever one.
I hear they call him the Imp., I hear he hates that nickname.
Oh? I hear he’s more than earned it. I hear he’s a drunken little lecher into all manner of perversions., Clever girl.
"We’ve been expecting you, Lord Tyrion.", Have you?
M’lord.," Should I explain to you the meaning of a closed door in a whorehouse, brother?"
"You’ve much to teach me, no doubt. But our sister craves your attention."," She has odd cravings, our sister."
"A family trait. Now, the Starks are feasting us at sundown. Don’t leave me alone with these people."," I’m sorry, I’ve begun the feast a bit early. And this is the first of many courses."
You’re Tyrion Lannister. The queen’s brother?," My greatest accomplishment. You – you’re Ned Stark’s bastard, aren’t you?"
Lord Eddard Stark is my father.," And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you."
What the hell do you know about being a bastard?, All dwarves are bastards in their fathers’ eyes.
"Rough night, Imp?"," If I get through this without squirting from one end or the other, it will be a miracle."
I didn’t pick you for a hunter., The greatest in the land. My spear never misses.
They have my son., The Stark boy appears to be less green than we'd hoped.
"Both Baratheon brothers have taken up against us. Jaime captured, his armies scattered. lt's a catastrophe. Perhaps we should sue for peace.", There's your peace. Joffrey saw to that when he decided to remove Ned Stark's head. You'll have an easier time drinking from that cup than you will bringing Robb Stark to the table now. He's winning – in case you hadn't noticed.
"(shouting) They have my son! Get out, all of you. (to Tyrion) Not you. You were right about Eddard Stark. lf he were alive, we could have used him to broker a peace with Winterfell and Riverrun, which would have given us more time to deal with Robert's brothers. But now – madness. Madness and stupidity. l always thought you were a stunted fool. Perhaps l was wrong."," Half wrong. l'm new to strategy, but unless we want to be surrounded by three armies, it appears we can't stay here."
No one will stay here. Ser Gregor will head out with 500 riders and set the Riverland on fire from God's Eye to the Red Fork. The rest of us will regroup at Harrenhal. And you will go to King's Landing., And do what?
"Rule. You will serve as Hand of the King in my stead. You will bring that boy king to heel, and his mother too, if needs be. And if you get so much as a whiff of treason from any of the rest – Baelish, Varys, Pycelle…"," Heads, spikes, walls. Why not my uncle? Why not anyone? Why me?"
Hand of the King?, So it would seem.
And your father said you couldn't take anyone with you to King's Landing?," No, he said l couldn't take you with me to King's Landing. He was very specific on that point."
He knew my name?, What?
"He said, ""Don't bring Shae with you to King's Landing""?"," l believe he used the word ""whore""."
"I’m funny now? l'm Shae, the funny whore."," My father's probably the most powerful man in the country. Certainly the richest. He has all Seven Kingdoms in his pockets. Everyone everywhere always has to do exactly what my father says. He's always been a cunt. l believe the ladies of the court could learn a great deal from a girl like you. Why don't you come with me, be the Hand's lady? Because the King needs a Hand and the Hand – (Shae kisses Tyrion)"
"Better-looking bitches than you're used to, Uncle. My mother's been looking for you. We ride for King's Landing today."," Before you go, you will call on Lord and Lady Stark and offer your sympathies."
What good will my sympathies do them?, None. But it is expected of you. Your absence has already been noted.
The boy means nothing to me. And I can't stand the wailing of women., One word and I'll hit you again.
I'm telling mother!," Go! Tell her. But first you will get to Lord and Lady Stark and you will fall on your knees in front of them and tell them how very sorry you are, that you are at their service, and that all your prayers are with them. Do you understand?"
You can't..., Do you understand?
"The Prince will remember that, little lord."," I hope so. If he forgets, be a good dog and remind him. Time for breakfast..."
Little brother., Beloved siblings.
Is Bran going to die?, Apparently not.
What do you mean?, The Maester says the boy may live.
"It's no mercy, letting a child linger in such pain.", Only the gods know for certain. All the rest of us can do is pray. The charms of the north seem entirely lost on you.
I still can't believe you're going. It's ridiculous even for you.," Where's your sense of wonder? The greatest structure ever built, the intrepid men of the Night's Watch, the wintry abode of the White Walkers."
Tell me you're not thinking of taking the black., And go celibate? The whores would go begging from Dorne to Casterly Rock. I just want to stand on top of the Wall and piss off the edge of the world.
"Even if the boy lives, he'll be a cripple, a grotesque. Give me a good clean death any day."," Speaking for the grotesques, I'd have to disagree. Death is so final, whereas life... Life is full of possibilities. I hope the boy does wake. I'd be very interested to hear what he has to say."
"My dear brother, there are times you make me wonder whose side you're on."," My dear brother, you wound me. You know how much I love my family."
Sit. You'll be fed. Untie them., Rapers. They were given a choice no doubt... Castration or the Wall. Most choose the knife. Not impressed by your new brothers? Lovely thing about the Watch... You discard your old family and get a whole new one.
Why do you read so much?, Look at me and tell me what you see.
Is this a trick?," What you see is a dwarf. If I'd been born a peasant they might've left me out in the woods to die. Alas, I was born a Lannister of Casterly Rock. Things are expected of me. My father was the Hand of the King for 20 years."
Until your brother killed that King.," Yes, until my brother killed him. Life is full of these little ironies. My sister married the new King and my repulsive nephew will be King after him. I must do my part for the honor of my house, wouldn't you agree? But how? Well, my brother has his sword and I have my mind. And a mind needs books like a sword needs a whetstone. That's why I read so much. And you? What's your story, bastard?"
"Ask me nicely and maybe I'll tell you, dwarf."," A bastard boy with nothing to inherit, off to join the ancient order of the Night's Watch, alongside his valiant brothers-in-arms."
The Night's Watch protects the realm from...," Yes yes, against grumpkins and snarks and all the other monsters your wet nurse warned you about. You're a smart boy. You don't believe that nonsense... Everything's better with some wine in the belly."
I don't need him to be charming. I need him to turn this bunch of thieves and runaways into men of the Night's Watch.," And how's that going, Commander Mormont?"
Slowly. A raven came for Ned Stark's son., Good news or bad?
"What're you looking at, halfman?", I'm looking at you. You've got an interesting face. Very distinctive faces. All of you.
What do you care about our faces?," It's just I think they would look marvelous decorating spikes in King's Landing. Perhaps I'll write my sister, the Queen, about it."
Everybody knew what this place was and no one told me. No one but you. My father knew and left me to rot here at the Wall all the same., Grenn's father left him too... Outside a farmhouse when he was three. Pyp was caught stealing a wheel of cheese. His little sister hadn't eaten in three days. He was given a choice: his right hand or the Wall. I've been asking the Lord Commander about them. Fascinating stories.
They hate me because I'm better than they are., It's a lucky thing none of them were trained by a master-at-arms like your Ser Rodrik. I don't imagine any of them have ever held a real sword before they came here. Your brother Bran. He's woken up.
A bear's balls., You're joking?
